date_utc,mean_return,return_dispersion,avg_vol_30d,vol_dispersion,avg_trend,pct_uptrend,pct_downtrend,crypto_return,fx_return,btc_vol_30d,avg_pairwise_corr_30d,cluster_kmeans,regime_kmeans,cluster_gmm,regime_gmm,gmm_prob_risk_off,gmm_prob_risk_on,gmm_prob_high_volatility,gmm_prob_calm
2025-02-03,0.01673717070705368,0.029000277803412876,0.021014905518621993,0.02081886749274466,-0.2,0.16666666666666666,0.3333333333333333,0.03588608700992468,-0.0024117455958173237,0.024460384222478558,0.8184582785260793,2,high_volatility,0,risk_off,1.0,5.147015807386118e-42,7.605700923798523e-55,8.572019956977851e-32
2025-02-04,-0.02547047214205746,0.03466804112244356,0.02150567559136554,0.021394817747288596,-0.4,0.16666666666666666,0.5,-0.054844766277369374,0.0039038219932544527,0.025400420749520123,0.8301035591161056,3,risk_off,0,risk_off,1.0,1.599190016506208e-61,3.0074928821932336e-57,2.86262478323937e-63
2025-02-05,-0.0033583309045268814,0.01650832450044028,0.0213564139443272,0.0213137067742139,-0.2,0.16666666666666666,0.3333333333333333,-0.006442632565453669,-0.0002740292436000935,0.024334802230135167,0.8232899636199879,1,calm,0,risk_off,1.0,6.599890629198174e-33,3.52660073341865e-53,3.882676539259193e-31
2025-02-06,-0.012342012874454836,0.017592149516459803,0.02026296926217352,0.0200488702882107,-0.2,0.16666666666666666,0.3333333333333333,-0.023063544060703028,-0.0016204816882066468,0.022381773337715006,0.794443211731149,1,calm,0,risk_off,1.0,3.0025270916837595e-35,8.82919428414205e-81,3.775558285900896e-24
2025-02-07,-0.006214327040292733,0.00962272066208515,0.02026498396810749,0.020018463674412512,-0.2,0.16666666666666666,0.3333333333333333,-0.009827820272393817,-0.0026008338081916493,0.022069132576161134,0.7958493181999343,1,calm,0,risk_off,1.0,4.992676525167137e-31,2.7561679745036238e-84,1.1742417619582556e-22
2025-02-10,0.007514304694653602,0.011528081743309729,0.019868583253890387,0.019549050081135496,-0.4,0.16666666666666666,0.5,0.016253695134275842,-0.0012250857449686385,0.02114706443126726,0.7878582457353476,1,calm,0,risk_off,1.0,2.792698912951445e-51,2.2274355643779236e-114,2.15280489929137e-48
2025-02-11,-0.008445971331016619,0.00956991628445931,0.01992848330160905,0.01956675525947766,-0.6,0.16666666666666666,0.6666666666666666,-0.016287161100461505,-0.0006047815615717322,0.021410065179340992,0.7846104660951608,1,calm,0,risk_off,1.0,2.8482633759438562e-90,3.178476212383869e-149,1.6095445154175867e-93
2025-02-12,0.020539859222968287,0.023591531532975798,0.020405765991983422,0.019889239727496767,-0.6,0.16666666666666666,0.6666666666666666,0.03946149168183566,0.0016182267641009125,0.021754081900296655,0.8030637908345403,2,high_volatility,0,risk_off,1.0,1.3994039465166414e-85,6.726336129919229e-131,4.26886809891562e-93
2025-02-13,-0.004785572007754331,0.011758605515003174,0.020140380161961752,0.01941023113821076,-0.4,0.16666666666666666,0.5,-0.013990251384619993,0.00441910736911133,0.021559235158921757,0.7943067574037038,1,calm,0,risk_off,1.0,3.184541509484297e-47,2.428778179724493e-96,3.990329038434167e-47
2025-02-14,0.01010256175463444,0.01551661209981627,0.01910323406199642,0.018250214713869766,-0.6,0.0,0.5,0.021165642308942283,-0.0009605187996734044,0.020213692178994123,0.7649445276121302,1,calm,0,risk_off,1.0,1.6762412686711288e-95,3.643024716713886e-181,3.276510881881041e-86
2025-02-17,-0.0012544225594054066,0.01893256891146442,0.01753085863710734,0.016093081521090822,-0.4,0.16666666666666666,0.5,-5.411221295329819e-05,-0.002454732905857515,0.018709220360890056,0.7278340758324454,1,calm,0,risk_off,1.0,1.2587914680811165e-67,1.1083092866708741e-182,1.1579113334017507e-40
2025-02-18,-0.009152634880056687,0.014036925985323589,0.01690546957916821,0.015206924652239285,-0.2,0.3333333333333333,0.5,-0.018533891526437658,0.00022862176632428474,0.01793735803282655,0.719414370718233,1,calm,0,risk_off,0.9999999999998335,2.1081511214429084e-43,5.172404136711253e-164,1.6661654127653739e-13
2025-02-19,0.006919095587172926,0.008083916958530508,0.016927205441024544,0.015262430349861396,-0.2,0.3333333333333333,0.5,0.01381913104515653,1.9060129189322577e-05,0.017970721774488555,0.7270869156219715,1,calm,0,risk_off,0.9999999999999913,1.0869803301134868e-40,3.232396365403218e-155,8.686218996401865e-15
2025-02-20,0.0031890867473290396,0.008449723474382838,0.016427148942436538,0.014752717807941807,0.0,0.3333333333333333,0.3333333333333333,0.008865188681309144,-0.002487015186651065,0.016658839030547636,0.7241801151280157,1,calm,0,risk_off,0.8889063388354463,1.751257059080085e-34,3.026641464609233e-165,0.11109366116455359
2025-02-21,-0.01990278434373934,0.02330493923457795,0.01668565864877355,0.014943802898259062,-0.5,0.16666666666666666,0.6666666666666666,-0.03673834304159177,-0.0030672256458869063,0.016607637745617156,0.7327608232945124,1,calm,0,risk_off,0.9999996921115829,1.8212681906429696e-26,1.0527252380370515e-139,3.078884171530047e-07
2025-02-24,-0.048888171425895945,0.059599388528868764,0.01903956523622309,0.01793095268822906,-0.5,0.16666666666666666,0.6666666666666666,-0.09721393900120046,-0.0005624038505914383,0.01856087441321936,0.8075143479670626,3,risk_off,0,risk_off,0.9999999999922489,1.9880614410507127e-12,8.231897649128467e-52,5.763115933803805e-12
2025-02-25,-0.005445469593965135,0.013750382979537342,0.01902311239516346,0.017825983965864788,-0.5,0.16666666666666666,0.6666666666666666,-0.012145416432169709,0.001254477244239438,0.019012453992670268,0.7773230001177525,1,calm,0,risk_off,0.9999999977809899,1.3542970069238113e-09,3.0115698817313655e-85,8.647129572499524e-10
2025-02-26,-0.024518521828449102,0.03018561179135241,0.019595512228809554,0.01814130894209257,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.05079221309658177,0.0017551694396835682,0.02076947767157131,0.7732250958934843,3,risk_off,0,risk_off,0.9999999999795794,3.978186393389869e-17,2.3058656014778624e-76,2.0420584112624544e-11
2025-02-27,0.0011446605936916339,0.009629114304167364,0.019528857363216183,0.018120796636671693,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0036346990841021887,-0.0013453778967189207,0.020888457430948325,0.7714089151175463,1,calm,0,risk_off,0.999999999999732,2.369128884570899e-16,5.875915475817541e-87,2.6773382841374096e-13
2025-02-28,-0.009418024479781276,0.014685226251417343,0.01941603858717557,0.017936174479100498,-0.5,0.16666666666666666,0.6666666666666666,-0.019119061077303434,0.00028301211774088103,0.02011131036773894,0.768345318847031,1,calm,0,risk_off,0.9999999999789739,6.435061126633933e-14,3.857836592209399e-93,2.0961645539794862e-11
2025-03-03,-0.06558635565588235,0.07970366523939416,0.02631381653700993,0.025503093516888915,-0.5,0.16666666666666666,0.6666666666666666,-0.1339827320703668,0.0028100207586020756,0.031362655848449966,0.892217096710338,3,risk_off,2,high_volatility,4.251052208909976e-09,2.6726259924069925e-32,0.9999999957489472,9.061704549526892e-54
2025-03-04,0.0032260765838317087,0.008480431934495984,0.025270378708970562,0.02416803137642403,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.007926771872879343,-0.0014746187052159243,0.031161887418647338,0.8961047068025193,2,high_volatility,2,high_volatility,6.215836437786859e-15,9.926188279513348e-20,0.9999999999999938,3.6126314105318105e-53
2025-03-05,0.019192810035987235,0.016377399369357493,0.02524254061329044,0.023873395099231896,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.033199535248848853,0.005186084823125621,0.0311480650659245,0.9040269943958624,2,high_volatility,2,high_volatility,8.786074778104733e-15,2.6070034505960353e-24,0.9999999999999911,2.5924944956062723e-52
2025-03-06,-0.005810558192598588,0.011933362875392053,0.024909558072025304,0.023222137967253347,-0.5,0.16666666666666666,0.6666666666666666,-0.013631647231592492,0.002010530846395316,0.030540440553559107,0.9008097186157172,2,high_volatility,2,high_volatility,2.2062505981403926e-14,4.677950169558888e-18,0.999999999999978,6.832746099225459e-47
2025-03-07,-0.013674728663887378,0.015371331804928634,0.024977113454533396,0.023183897035927475,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.026283980110459477,-0.0010654772173152767,0.03108384933671329,0.9038208719838711,2,high_volatility,2,high_volatility,3.9060470136243335e-22,8.409546446472096e-21,1.0,1.6654121399458072e-48
2025-03-10,-0.030786651627595103,0.04005876725966437,0.026784994193313358,0.02536016241653784,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.06248210226040818,0.0009087990052179714,0.03319550500503886,0.9082790098363066,3,risk_off,2,high_volatility,2.191025563142294e-21,3.2758661484004645e-31,1.0,2.844528654764349e-59
2025-03-11,0.02556928848316244,0.031292215897409964,0.02749607586636704,0.026067802160145523,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.05192923742180744,-0.0007906604554825577,0.035061055646707674,0.9059696489581835,2,high_volatility,2,high_volatility,1.879942733679205e-20,9.860592556921884e-42,1.0,4.66656039768092e-75
2025-03-12,0.010164751135573283,0.019672767043157638,0.027596091576201853,0.026165812039380426,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.01641639203843855,0.003913110232708017,0.035046548063487115,0.8990840315330565,2,high_volatility,2,high_volatility,1.166690830229789e-21,1.5946846926567287e-43,1.0,1.0338033678751271e-76
2025-03-13,-0.015943296634970256,0.01878424507790934,0.027695180053430676,0.026238655511150278,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.03210453471055482,0.00021794144061430357,0.035307315295023296,0.8991933999030038,2,high_volatility,2,high_volatility,6.502114517526269e-26,7.627985391663873e-42,1.0,1.1569720875444027e-77
2025-03-14,0.01546880049728496,0.021143624637288996,0.027622464519921213,0.026063658970477376,-0.5,0.16666666666666666,0.6666666666666666,0.034213868107641376,-0.003276267113071459,0.035764541652353384,0.8987816327170405,2,high_volatility,2,high_volatility,4.851262120989404e-19,7.592403763937204e-44,1.0,1.68680737918348e-84
2025-03-17,0.012672835735196028,0.012204298382545902,0.02763409328567922,0.026403383677563255,-0.5,0.16666666666666666,0.6666666666666666,0.02303151189972367,0.0023141595706683837,0.036034694677170895,0.9017773668448937,2,high_volatility,2,high_volatility,3.5156063231891375e-17,9.362583736810436e-48,1.0,2.5307457537918696e-92
