date_utc,asset,close,daily_return,ma_20,ma_50,vol_30d,trend_signal,asset_class,vol_30d_rank,vol_30d_pct
2025-01-03,BTCUSD,98136.51,,,,,,crypto,,
2025-01-04,BTCUSD,98209.85,0.0007473263518338324,,,,,crypto,,
2025-01-05,BTCUSD,98345.33,0.001379495030284561,,,,,crypto,,
2025-01-06,BTCUSD,102279.41,0.04000271288936652,,,,,crypto,,
2025-01-07,BTCUSD,96941.98,-0.052184794574000826,,,,,crypto,,
2025-01-08,BTCUSD,95036.63,-0.019654539756666756,,,,,crypto,,
2025-01-09,BTCUSD,92547.44,-0.026191900954400493,,,,,crypto,,
2025-01-10,BTCUSD,94701.18,0.023271740417670994,,,,,crypto,,
2025-01-11,BTCUSD,94565.02,-0.0014377856748984952,,,,,crypto,,
2025-01-12,BTCUSD,94509.62,-0.0005858403033173198,,,,,crypto,,
2025-01-13,BTCUSD,94506.45,-3.354155904977674e-05,,,,,crypto,,
2025-01-14,BTCUSD,96534.96,0.02146424926552637,,,,,crypto,,
2025-01-15,BTCUSD,100510.23,0.0411795892389657,,,,,crypto,,
2025-01-16,BTCUSD,99981.78,-0.0052576737711176325,,,,,crypto,,
2025-01-17,BTCUSD,104107.0,0.04125971752053226,,,,,crypto,,
2025-01-18,BTCUSD,104435.0,0.003150604666352974,,,,,crypto,,
2025-01-19,BTCUSD,101211.13,-0.03086963182840996,,,,,crypto,,
2025-01-20,BTCUSD,102145.43,0.009231198189368905,,,,,crypto,,
2025-01-21,BTCUSD,106159.26,0.03929524796165618,,,,,crypto,,
2025-01-22,BTCUSD,103667.11,-0.023475578107835293,98926.566,,,,crypto,,
2025-01-23,BTCUSD,103926.36,0.0025007931638105774,99216.0585,,,,crypto,,
2025-01-24,BTCUSD,104850.27,0.008890044835593303,99548.07949999999,,,,crypto,,
2025-01-25,BTCUSD,104733.56,-0.0011131111059610177,99867.49100000001,,,,crypto,,
2025-01-26,BTCUSD,102563.0,-0.020724589138381266,99881.6705,,,,crypto,,
2025-01-27,BTCUSD,102062.42,-0.004880707467605272,100137.69249999999,,,,crypto,,
2025-01-28,BTCUSD,101290.0,-0.007568113709237934,100450.361,,,,crypto,,
2025-01-29,BTCUSD,103747.25,0.024259551782012112,101010.3515,,,,crypto,,
2025-01-30,BTCUSD,104742.64,0.009594374790657056,101512.4245,,,,crypto,,
2025-01-31,BTCUSD,102411.26,-0.022258174894197902,101904.7365,,,,crypto,,
2025-02-01,BTCUSD,100623.85,-0.017453256604791245,102210.448,,,,crypto,,
2025-02-02,BTCUSD,97676.52,-0.029290570774225033,102368.9515,,0.023420700265576407,,crypto,3.0,0.5
2025-02-03,BTCUSD,101460.2,0.03873684279497258,102615.21349999998,,0.024460384222478558,,crypto,3.0,0.7142857142857143
2025-02-04,BTCUSD,97795.05,-0.03612401710227253,102479.45449999999,,0.025400420749520123,,crypto,3.0,0.7142857142857143
2025-02-05,BTCUSD,96638.33,-0.01182800151950436,102312.282,,0.024334802230135167,,crypto,3.0,0.7142857142857143
2025-02-06,BTCUSD,96564.62,-0.000762740829648112,101935.163,,0.022381773337715006,,crypto,3.0,0.7142857142857143
2025-02-07,BTCUSD,96537.08,-0.0002851976220690222,101540.267,,0.022069132576161134,,crypto,3.0,0.7142857142857143
2025-02-08,BTCUSD,96476.25,-0.000630120571287196,101303.523,,0.021478361633448604,,crypto,3.0,0.5
2025-02-09,BTCUSD,96475.82,-4.457055492901318e-06,101020.04250000001,,0.021085644135829255,,crypto,3.0,0.5
