date_utc,crypto,fx,stablecoin
2025-02-03,0.03804146411517206,0.0039883469220718,0.0005428567329505
2025-02-04,0.0390741283214429,0.003937222861288067,0.0005629397132107
2025-02-05,0.03872123215467177,0.0039915957339824995,0.0005521220922032
2025-02-06,0.036419872623920234,0.004106065900426733,0.0005408413254433
2025-02-07,0.03634556325991843,0.0041844046762965,0.0005411493849192
2025-02-08,0.03586748013491794,,0.0005400914641617
2025-02-09,0.03542076006644773,,0.0005391810795782
2025-02-10,0.035512619304726364,0.0042245472030542665,0.0005381996656267
2025-02-11,0.035635075503596396,0.004221891099621566,0.0005405767471342
2025-02-12,0.03637981575335646,0.004431716230610267,0.0005411332220315
2025-02-13,0.0357793485990674,0.004501411724856033,0.0005410565982418
2025-02-14,0.0336784831853972,0.004527984938595567,0.0005356170876894
2025-02-15,0.0334549423443216,,0.0005345576708577
2025-02-16,0.0306778245222732,,0.0005267498522237
2025-02-17,0.030481089063481636,0.0045806282107329335,0.0004426085259101
2025-02-18,0.029252936414580533,0.004558002743755799,0.0004536315727599
2025-02-19,0.02930141321592473,0.0045529976661242335,0.0004619030075734
2025-02-20,0.0282951254863834,0.0045591723984896,0.0003995057498434
2025-02-21,0.028605722509819336,0.004765594787727667,0.0004115452058011
2025-02-22,0.0289461491988202,,0.0004137690119292
2025-02-23,0.029017356868889368,,0.0004117843507192
2025-02-24,0.03335444947639423,0.004724680996051867,0.0004126545703202
2025-02-25,0.03334927095752093,0.004696953832805867,0.0004519622107518
2025-02-26,0.0344640172608664,0.0047270071967525995,0.0004508724638552
2025-02-27,0.03440858264128747,0.004649132085144833,0.0004564459331172
2025-02-28,0.03402529232324903,0.004806784851102,0.0004526359055087
2025-03-01,0.03370999048885027,,0.000452310121852
2025-03-02,0.0423315709044155,,0.0004566410682696
2025-03-03,0.047838315432694095,0.004789317641325634,0.000480452929231
2025-03-04,0.04590101257132063,0.004639744846620434,0.0004899887131254
2025-03-05,0.04567261752373131,0.004812463702849533,0.0004327066518522
2025-03-06,0.044772466866578174,0.0050466492774723665,0.000409168595043
2025-03-07,0.0448801156934259,0.005074111215640767,0.0004149487554418
2025-03-08,0.04491695233255203,,0.0004156747054607
2025-03-09,0.04758311915648936,,0.0004147057680075
2025-03-10,0.04849605983338481,0.0050739285532418335,0.0004167986586257
2025-03-11,0.04992662329715,0.005065528435584,0.0004204132717934
2025-03-12,0.050068377568868595,0.005123805583535033,0.0004204453653533
2025-03-13,0.05024296302543347,0.0051473970814278,0.0004181596124585
2025-03-14,0.050075441161821665,0.0051694878780207,0.0004262310614927
2025-03-15,0.0502303623100969,,0.0004261677661913
2025-03-16,0.0500617018466033,,0.0004264636199018
2025-03-17,0.050404959965790495,0.004863226605567867,0.0004260414105837
2025-03-18,0.050442410960337,0.004834137371954533,0.0004267620010372
2025-03-19,0.051761896317328304,0.004811449574703233,0.0004354530918096
2025-03-20,0.05203559553671736,0.0047782536704572,0.0004514682799334
2025-03-21,0.0518766064466617,0.004720630469587466,0.0004431788091483
2025-03-22,0.051801690965733733,,0.0004419007496079
2025-03-23,0.05183622891332654,,0.0004179447439754
2025-03-24,0.052172493039471635,0.004717448953217333,0.000400788458069
2025-03-25,0.0522884133878532,0.004831203418428267,0.000400335735315
2025-03-26,0.049369088761151265,0.0046988985429679,0.000399449709987
2025-03-27,0.04925728999279403,0.004707514868726333,0.0003541694063894
2025-03-28,0.04902093898530574,0.0046778102671212,0.0003544339429045
2025-03-29,0.049439992793180336,,0.0003431275363341
2025-03-30,0.04935879421437946,,0.0003339791030166
2025-03-31,0.049232993157151295,0.004686124354903666,0.0003349903794441
2025-04-01,0.0431791982812052,0.0046261757934295,0.0003232060688475
2025-04-02,0.03684091418084313,0.0046089749792903,0.0002879294837495
2025-04-03,0.0368241803482526,0.00481418353895,0.0002749345563959
2025-04-04,0.036573447339587166,0.004864410621433033,0.000272494386605
2025-04-05,0.036542494587005765,,0.0002725891111266
2025-04-06,0.04045140271773583,,0.0002688300704111
2025-04-07,0.040224496881545634,0.0049347346850418,0.0002720201518074
2025-04-08,0.0377023215834185,0.005297193666011766,0.0002843938676106
2025-04-09,0.04209384290768823,0.0054173684996778005,0.0003082650555764
2025-04-10,0.042186123281215036,0.005518284820820133,0.0003107119347286
2025-04-11,0.04270977189105953,0.0063355564577918,0.0003118561713013
2025-04-12,0.04296145768615217,,0.0003160203988687
2025-04-13,0.04269116423001823,,0.0003048817659179
2025-04-14,0.0427131013711231,0.006316190521365066,0.0003075099702101
2025-04-15,0.04252217287265723,0.006265867477289099,0.0003070735722248
2025-04-16,0.042275674563627234,0.006204499062125633,0.000307251519228
2025-04-17,0.04216011206262533,0.006098534389845066,0.0003055575849255
2025-04-18,0.04060852066198787,,0.000292804390722
2025-04-19,0.04010364665523653,,0.000246406427452
