date_utc,crypto,fx,stablecoin
2025-02-03,0.035886087009924635,-0.0024117455958173,0.0012402976714409
2025-02-04,-0.05484476627736933,0.003903821993254433,-0.0007792207792205
2025-02-05,-0.006442632565453632,-0.00027402924360009974,-0.0001799604087101
2025-02-06,-0.023063544060703,-0.0016204816882066664,9.999600016019627e-06
2025-02-07,-0.009827820272393767,-0.0026008338081916333,0.0001399930003498
2025-02-08,0.009724970585342434,,-6.998670252655881e-05
2025-02-09,-0.005885973067254267,,1.9997600288146344e-05
2025-02-10,0.0162536951342758,-0.0012250857449686333,1.999720039180808e-05
2025-02-11,-0.016287161100461467,-0.0006047815615717,-0.0003199488081906
2025-02-12,0.0394614916818356,0.0016182267641009001,0.0001900304048647
2025-02-13,-0.013990251384619934,0.0044191073691113,3.999880003613399e-05
2025-02-14,0.0211656423089422,-0.0009605187996733667,-1.999860009793686e-05
2025-02-15,-0.0038127937796702664,,9.99950002500416e-05
2025-02-16,-0.016593954707222167,,-9.998500224961404e-05
2025-02-17,-5.411221295329935e-05,-0.0024547329058575,-0.000109994500275
2025-02-18,-0.0185338915264376,0.00022862176632430006,-0.0005600336020161
2025-02-19,0.013819131045156465,1.906012918929997e-05,0.0005203226000118
2025-02-20,0.0088651886813091,-0.002487015186651,0.0002600260026002
2025-02-21,-0.03673834304159173,-0.003067225645886867,-0.0007798752199646
2025-02-22,0.023976820485325432,,0.0006804218615541
2025-02-23,0.0006236822353062997,,-9.999400035998196e-05
2025-02-24,-0.0972139390012004,-0.0005624038505914,-0.0001600064002559
2025-02-25,-0.0121454164321697,0.0012544772442394001,-0.0010302060412081
2025-02-26,-0.05079221309658174,0.0017551694396835335,-0.0002402955635432
2025-02-27,0.0036346990841022004,-0.0013453778967189333,0.000520765525322
2025-02-28,-0.019119061077303403,0.0002830121177409001,0.000500475451679
2025-03-01,0.012059390346057033,,1.000450202592873e-05
2025-03-02,0.13010786589400536,,0.0005202289007164
2025-03-03,-0.13398273207036676,0.002810020758602033,-0.0008099352051836
2025-03-04,0.0079267718728793,-0.0014746187052159,0.0005103725719775
2025-03-05,0.0331995352488488,0.0051860848231256,0.000200044009682
2025-03-06,-0.013631647231592431,0.0020105308463953336,-1.000020000396784e-05
2025-03-07,-0.02628398011045943,-0.0010654772173153,-0.0004200126003779
2025-03-08,-0.0025941003334135327,,0.0001200540243109
2025-03-09,-0.09109298579444201,,1.0003301089467342e-05
2025-03-10,-0.06248210226040813,0.0009087990052179664,-0.0002500800256081
2025-03-11,0.051929237421807405,-0.0007906604554825666,0.0002801596910237
2025-03-12,0.016416392038438567,0.003913110232708,3.000870252378718e-05
2025-03-13,-0.0321045347105548,0.0002179414406142667,-0.0002100546141996
2025-03-14,0.03421386810764133,-0.0032762671130714335,0.0004802257060818
2025-03-15,0.013831720808445233,,9.999900000945416e-06
2025-03-16,-0.030566504275627567,,-8.999820003596781e-05
2025-03-17,0.023031511899723633,0.002314159570668333,2.0001400097946487e-05
2025-03-18,-0.0146175761287023,0.0028262945422992,-0.000170008500425
2025-03-19,0.058580885065615936,-0.0005222784350619331,0.000480105623237
2025-03-20,-0.038752519580169564,-0.0039060179340526,-0.0008497790574449
2025-03-21,-0.007647786234304466,-0.0014523447965905717,0.0002401416835933
2025-03-22,0.0021337095375123668,,0.000190066523283
2025-03-23,0.0235955338492798,,0.0001400224035845
