date_utc,mean_return,return_dispersion,avg_vol_30d,vol_dispersion,avg_trend,pct_uptrend,pct_downtrend,crypto_return,fx_return,btc_vol_30d,avg_pairwise_corr_30d,cluster_kmeans,regime_kmeans,cluster_gmm,regime_gmm,gmm_prob_risk_off,gmm_prob_risk_on,gmm_prob_high_volatility,gmm_prob_calm,feature_mood,regime_mood,market_mood,mood_label
2025-02-03,0.0167371707070536,0.0290002778034128,0.0210149055186219,0.0208188674927446,-0.2,0.1666666666666666,0.3333333333333333,0.0358860870099246,-0.0024117455958173,0.0244603842224785,0.8184582785260793,2,high_volatility,0,risk_off,1.0,5.1470158073861175e-42,7.605700923798523e-55,8.57201995697785e-32,42.814682474348885,4.286009979003627e-30,29.970277732044217,bearish
2025-02-04,-0.0254704721420574,0.0346680411224435,0.0215056755913655,0.0213948177472885,-0.4,0.1666666666666666,0.5,-0.0548447662773693,0.0039038219932544,0.0254004207495201,0.8301035591161056,3,risk_off,0,risk_off,1.0,1.599190016506208e-61,3.0074928821932336e-57,2.86262478323937e-63,33.59101763104355,7.520345708623506e-56,23.513712341730482,bearish
2025-02-05,-0.0033583309045268,0.0165083245004402,0.0213564139443272,0.0213137067742139,-0.2,0.1666666666666666,0.3333333333333333,-0.0064426325654536,-0.0002740292436,0.0243348022301351,0.8232899636199879,1,calm,0,risk_off,1.0,6.599890629198174e-33,3.52660073341865e-53,3.882676539259193e-31,41.26200051895309,2.007337175921578e-29,28.88340036326716,bearish
2025-02-06,-0.0123420128744548,0.0175921495164598,0.0202629692621735,0.0200488702882107,-0.2,0.1666666666666666,0.3333333333333333,-0.023063544060703,-0.0016204816882066,0.022381773337715,0.794443211731149,1,calm,0,risk_off,1.0,3.0025270916837595e-35,8.82919428414205e-81,3.775558285900896e-24,39.173275917147194,1.8877791429804733e-22,27.421293142003034,bearish
2025-02-07,-0.0062143270402927,0.0096227206620851,0.0202649839681074,0.0200184636744125,-0.2,0.1666666666666666,0.3333333333333333,-0.0098278202723938,-0.0026008338081916,0.0220691325761611,0.7958493181999343,1,calm,0,risk_off,1.0,4.992676525167137e-31,2.7561679745036238e-84,1.1742417619582556e-22,41.16558347881624,5.871208859718043e-21,28.815908435171366,bearish
2025-02-10,0.0075143046946536,0.0115280817433097,0.0198685832538903,0.0195490500811354,-0.4,0.1666666666666666,0.5,0.0162536951342758,-0.0012250857449686,0.0211470644312672,0.7878582457353476,1,calm,0,risk_off,1.0,2.792698912951445e-51,2.227435564377924e-114,2.1528048992913698e-48,45.66853715038965,1.0791951485586364e-46,31.967976005272757,cautious
2025-02-11,-0.0084459713310166,0.0095699162844593,0.019928483301609,0.0195667552594776,-0.6,0.1666666666666666,0.6666666666666666,-0.0162871611004615,-0.0006047815615717,0.0214100651793409,0.7846104660951608,1,calm,0,risk_off,1.0,2.848263375943856e-90,3.178476212383869e-149,1.6095445154175867e-93,38.67837178167627,2.8490681482015647e-88,27.074860247173387,bearish
2025-02-12,0.0205398592229682,0.0235915315329757,0.0204057659919834,0.0198892397274967,-0.6,0.1666666666666666,0.6666666666666666,0.0394614916818356,0.0016182267641009,0.0217540819002966,0.8030637908345403,2,high_volatility,0,risk_off,1.0,1.3994039465166414e-85,6.72633612991923e-131,4.26886809891562e-93,47.98479367430501,1.399403967860982e-83,33.5893555720135,cautious
2025-02-13,-0.0047855720077543,0.0117586055150031,0.0201403801619617,0.0194102311382107,-0.4,0.1666666666666666,0.5,-0.0139902513846199,0.0044191073691113,0.0215592351589217,0.7943067574037038,1,calm,0,risk_off,1.0,3.184541509484297e-47,2.4287781797244932e-96,3.9903290384341667e-47,50.204857458527584,5.1797060287013807e-45,35.143400220969305,cautious
2025-02-14,0.0101025617546344,0.0155166120998162,0.0191032340619964,0.0182502147138697,-0.6,0.0,0.5,0.0211656423089422,-0.0009605187996734,0.0202136921789941,0.7649445276121302,1,calm,0,risk_off,1.0,1.6762412686711288e-95,3.6430247167138863e-181,3.276510881881041e-86,44.887806584001396,1.638255442616762e-84,31.421464608800974,cautious
2025-02-17,-0.0012544225594054,0.0189325689114644,0.0175308586371073,0.0160930815210908,-0.4,0.1666666666666666,0.5,-5.411221295329819e-05,-0.0024547329058575,0.01870922036089,0.7278340758324454,1,calm,0,risk_off,1.0,1.2587914680811163e-67,1.108309286670874e-182,1.1579113334017507e-40,46.13009869379571,5.789556667008753e-39,32.29106908565699,cautious
2025-02-18,-0.0091526348800566,0.0140369259853235,0.0169054695791682,0.0152069246522392,-0.2,0.3333333333333333,0.5,-0.0185338915264376,0.0002286217663242,0.0179373580328265,0.719414370718233,1,calm,0,risk_off,0.9999999999998336,2.1081511214429084e-43,5.172404136711253e-164,1.666165412765374e-13,54.086082420985555,8.330827063826871e-12,37.860257694692386,cautious
2025-02-19,0.0069190955871729,0.0080839169585305,0.0169272054410245,0.0152624303498613,-0.2,0.3333333333333333,0.5,0.0138191310451565,1.9060129189322577e-05,0.0179707217744885,0.7270869156219715,1,calm,0,risk_off,0.9999999999999912,1.0869803301134868e-40,3.232396365403218e-155,8.686218996401865e-15,59.82133729597017,4.343109498200932e-13,41.874936107179245,cautious
2025-02-20,0.003189086747329,0.0084497234743828,0.0164271489424365,0.0147527178079418,0.0,0.3333333333333333,0.3333333333333333,0.0088651886813091,-0.002487015186651,0.0166588390305476,0.7241801151280157,1,calm,0,risk_off,0.8889063388354463,1.7512570590800852e-34,3.026641464609233e-165,0.1110936611645535,58.85830482015279,5.554683058227675,42.867218291575256,cautious
2025-02-21,-0.0199027843437393,0.0233049392345779,0.0166856586487735,0.014943802898259,-0.5,0.1666666666666666,0.6666666666666666,-0.0367383430415917,-0.0030672256458869,0.0166076377456171,0.7327608232945124,1,calm,0,risk_off,0.9999996921115828,1.8212681906429696e-26,1.0527252380370515e-139,3.078884171530047e-07,37.9857237692046,1.5394420857650235e-05,26.590011256769476,bearish
2025-02-24,-0.0488881714258959,0.0595993885288687,0.019039565236223,0.017930952688229,-0.5,0.1666666666666666,0.6666666666666666,-0.0972139390012004,-0.0005624038505914,0.0185608744132193,0.8075143479670626,3,risk_off,0,risk_off,0.9999999999922488,1.9880614410507127e-12,8.231897649128467e-52,5.763115933803805e-12,19.335112344073163,4.869619407952615e-10,13.534578640997303,bearish
2025-02-25,-0.0054454695939651,0.0137503829795373,0.0190231123951634,0.0178259839658647,-0.5,0.1666666666666666,0.6666666666666666,-0.0121454164321697,0.0012544772442394,0.0190124539926702,0.7773230001177525,1,calm,0,risk_off,0.99999999778099,1.3542970069238111e-09,3.0115698817313655e-85,8.647129572499523e-10,45.57661883205479,1.7866534855487872e-07,31.903633236037955,cautious
2025-02-26,-0.0245185218284491,0.0301856117913524,0.0195955122288095,0.0181413089420925,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.0507922130965817,0.0017551694396835,0.0207694776715713,0.7732250958934843,3,risk_off,0,risk_off,0.9999999999795794,3.978186393389869e-17,2.3058656014778624e-76,2.0420584112624544e-11,39.46926280968195,1.0210331838176205e-09,27.628483967083675,bearish
2025-02-27,0.0011446605936916,0.0096291143041673,0.0195288573632161,0.0181207966366716,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0036346990841021,-0.0013453778967189,0.0208884574309483,0.7714089151175463,1,calm,0,risk_off,0.999999999999732,2.369128884570899e-16,5.875915475817541e-87,2.6773382841374096e-13,46.71820058431909,1.3410382709532757e-11,32.702740409027385,cautious
2025-02-28,-0.0094180244797812,0.0146852262514173,0.0194160385871755,0.0179361744791004,-0.5,0.1666666666666666,0.6666666666666666,-0.0191190610773034,0.0002830121177408,0.0201113103677389,0.768345318847031,1,calm,0,risk_off,0.999999999978974,6.435061126633933e-14,3.8578365922093985e-93,2.0961645539794862e-11,42.01453824193407,1.0545173381163771e-09,29.4101767696702,bearish
2025-03-03,-0.0655863556558823,0.0797036652393941,0.0263138165370099,0.0255030935168889,-0.5,0.1666666666666666,0.6666666666666666,-0.1339827320703668,0.002810020758602,0.0313626558484499,0.892217096710338,3,risk_off,2,high_volatility,4.251052208909976e-09,2.6726259924069925e-32,0.9999999957489472,9.061704549526892e-54,0.0,24.99999989372368,7.499999968117104,bearish
2025-03-04,0.0032260765838317,0.0084804319344959,0.0252703787089705,0.024168031376424,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0079267718728793,-0.0014746187052159,0.0311618874186473,0.8961047068025193,2,high_volatility,2,high_volatility,6.215836437786859e-15,9.926188279513348e-20,0.9999999999999938,3.61263141053181e-53,31.69455656919406,24.999999999999844,29.686189598435796,bearish
2025-03-05,0.0191928100359872,0.0163773993693574,0.0252425406132904,0.0238733950992318,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0331995352488488,0.0051860848231256,0.0311480650659245,0.9040269943958624,2,high_volatility,2,high_volatility,8.786074778104733e-15,2.6070034505960357e-24,0.9999999999999912,2.5924944956062727e-52,46.17230261549037,24.99999999999978,39.8206118308432,cautious
2025-03-06,-0.0058105581925985,0.011933362875392,0.0249095580720253,0.0232221379672533,-0.5,0.1666666666666666,0.6666666666666666,-0.0136316472315924,0.0020105308463953,0.0305404405535591,0.9008097186157172,2,high_volatility,2,high_volatility,2.206250598140393e-14,4.677950169558888e-18,0.999999999999978,6.832746099225459e-47,31.18098508616693,24.99999999999945,29.326689560316687,bearish
2025-03-07,-0.0136747286638873,0.0153713318049286,0.0249771134545333,0.0231838970359274,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.0262839801104594,-0.0010654772173152,0.0310838493367132,0.9038208719838712,2,high_volatility,2,high_volatility,3.9060470136243335e-22,8.409546446472096e-21,1.0,1.6654121399458072e-48,26.259281275714592,25.0,25.881496893000214,bearish
2025-03-10,-0.0307866516275951,0.0400587672596643,0.0267849941933133,0.0253601624165378,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.0624821022604081,0.0009087990052179,0.0331955050050388,0.9082790098363066,3,risk_off,2,high_volatility,2.191025563142294e-21,3.275866148400464e-31,1.0,2.844528654764349e-59,15.597794999435813,25.0,18.418456499605067,bearish
2025-03-11,0.0255692884831624,0.0312922158974099,0.027496075866367,0.0260678021601455,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0519292374218074,-0.0007906604554825,0.0350610556467076,0.9059696489581835,2,high_volatility,2,high_volatility,1.879942733679205e-20,9.860592556921884e-42,1.0,4.66656039768092e-75,31.284770219237757,25.0,29.39933915346643,bearish
2025-03-12,0.0101647511355732,0.0196727670431576,0.0275960915762018,0.0261658120393804,-0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0164163920384385,0.003913110232708,0.0350465480634871,0.8990840315330565,2,high_volatility,2,high_volatility,1.166690830229789e-21,1.594684692656729e-43,1.0,1.0338033678751272e-76,35.94761546995746,25.0,32.66333082897022,cautious
2025-03-13,-0.0159432966349702,0.0187842450779093,0.0276951800534306,0.0262386555111502,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.0321045347105548,0.0002179414406143,0.0353073152950232,0.8991933999030038,2,high_volatility,2,high_volatility,6.502114517526269e-26,7.627985391663873e-42,1.0,1.1569720875444027e-77,21.40568474725842,25.0,22.483979323080895,bearish
2025-03-14,0.0154688004972849,0.0211436246372889,0.0276224645199212,0.0260636589704773,-0.5,0.1666666666666666,0.6666666666666666,0.0342138681076413,-0.0032762671130714,0.0357645416523533,0.8987816327170405,2,high_volatility,2,high_volatility,4.851262120989405e-19,7.592403763937205e-44,1.0,1.68680737918348e-84,22.146565623821644,25.0,23.00259593667515,bearish
2025-03-17,0.012672835735196,0.0122042983825459,0.0276340932856792,0.0264033836775632,-0.5,0.1666666666666666,0.6666666666666666,0.0230315118997236,0.0023141595706683,0.0360346946771708,0.9017773668448936,2,high_volatility,2,high_volatility,3.5156063231891375e-17,9.362583736810435e-48,1.0,2.5307457537918696e-92,31.380887419861775,25.0,29.46662119390324,bearish
2025-03-18,-0.0058956407932015,0.014361093970635,0.0276382741661458,0.0264458515375068,-0.3333333333333333,0.1666666666666666,0.5,-0.0146175761287022,0.0028262945422992,0.0360398618128316,0.8992377086830029,2,high_volatility,2,high_volatility,2.310820904941484e-19,1.5322010113398554e-54,1.0,1.921679631263042e-88,28.564326647965192,25.0,27.495028653575634,bearish
2025-03-19,0.029029303315277,0.0327658115785054,0.0282866729460158,0.0271339598394327,-0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0585808850656159,-0.0005222784350619,0.0374092258446623,0.912679253797688,2,high_volatility,2,high_volatility,5.340917518715229e-19,7.847314780598097e-72,1.0,9.029383152598349e-96,32.25900743855328,25.0,30.081305206987295,cautious
2025-03-20,-0.0213292687571111,0.0200212958358014,0.0284069246035873,0.0272867165842867,-0.5,0.1666666666666666,0.6666666666666666,-0.0387525195801696,-0.0039060179340526,0.0377670486378707,0.9145724392621868,2,high_volatility,2,high_volatility,8.262830939075744e-24,5.52307025097182e-55,1.0,1.987527891149667e-106,6.656770292657441,25.0,12.159739204860209,bearish
2025-03-21,-0.0045500655154475,0.0053251924682573,0.0282986184581246,0.0272254427374479,-0.5,0.1666666666666666,0.6666666666666666,-0.0076477862343045,-0.0014523447965905,0.0376738502775517,0.9140879070990012,2,high_volatility,2,high_volatility,1.1450932091546786e-22,9.23696254360334e-54,1.0,3.5874913687304125e-109,18.93091131423568,25.0,20.751637919964974,bearish
2025-03-24,0.019324282460177,0.0251731892555847,0.0284449709963445,0.0274234935643415,0.1666666666666666,0.1666666666666666,0.0,0.0382143818620994,0.0004341830582546,0.0378717710514907,0.9170697081838058,2,high_volatility,2,high_volatility,1.892333691634148e-23,1.6681292015302611e-90,1.0,5.311783327515909e-102,36.98744305953166,25.0,33.39121014167216,cautious
2025-03-25,0.0055138323658425,0.0186772374708694,0.0285598084031407,0.0274822683606078,0.1666666666666666,0.1666666666666666,0.0,0.0113383966593677,-0.0003107319276826,0.0378724951044006,0.9158116815090512,2,high_volatility,2,high_volatility,1.6975857799687936e-27,5.157847935244423e-85,1.0,7.774482357436272e-102,32.363913679651205,25.0,30.15473957575584,cautious
2025-03-26,-0.0029772205834981,0.0157981733463206,0.0270339936520596,0.0256988122608682,0.1666666666666666,0.1666666666666666,0.0,-0.0038637286367905,-0.0020907125302057,0.0368333819010667,0.9071111200610508,2,high_volatility,2,high_volatility,3.593905252428629e-23,7.009891053731544e-85,1.0,1.082413845035934e-96,30.20135311795269,25.0,28.64094718256688,bearish
2025-03-27,-0.0029060739735647,0.010530391403305,0.0269824024307602,0.0256886290292624,0.0,0.0,0.0,-0.0075378412904539,0.0017256933433245,0.0363723301934726,0.9133715390148006,2,high_volatility,2,high_volatility,7.8924152020054e-21,1.49673908087088e-75,1.0,4.118753378136416e-94,33.82024214993122,25.0,31.174169504951852,cautious
2025-03-28,-0.0227884804383157,0.02750125229716,0.0268493746262135,0.0256903690570329,-0.1666666666666666,0.1666666666666666,0.3333333333333333,-0.0466838158434319,0.0011068549668005,0.0356510347082489,0.9184003941833568,2,high_volatility,2,high_volatility,6.637235658158055e-17,1.2600801528932377e-56,1.0,6.051220640625471e-82,21.377648761236465,25.0,22.464354132865523,bearish
2025-03-31,0.0004407827816021,0.0053519473094731,0.0269595587560275,0.0258458226874645,-0.5,0.1666666666666666,0.6666666666666666,0.0034995554363447,-0.0026179898731405,0.0356404723450722,0.9244406113528748,2,high_volatility,2,high_volatility,6.685646177653688e-18,7.554566378669943e-38,1.0,2.7805737706105923e-90,21.095646743478756,25.0,22.26695272043513,bearish
2025-04-01,0.0204223742660989,0.02265002554203,0.0239026870373174,0.0224472013979799,-0.5,0.0,0.5,0.0406158941682663,0.0002288543639316,0.0313114279284462,0.9017356553078396,2,high_volatility,2,high_volatility,6.091814695057519e-06,4.974060367158543e-32,0.9999939081853048,1.3721886894564087e-55,35.15520902176735,24.999847704632618,32.108600626626924,cautious
2025-04-02,-0.0248690584446019,0.0285123917019386,0.0207249445800667,0.0187487317388985,-0.6666666666666666,0.0,0.6666666666666666,-0.0492975500963868,-0.0004405667928171,0.0276974317687941,0.8694530674861541,3,risk_off,0,risk_off,0.9996032192485051,1.0956573984650966e-26,0.0003967807514949,4.859082225924524e-37,22.462208599259586,0.009919518787372501,15.726521875117921,bearish
2025-04-03,0.0015103757803648,0.0106048760639137,0.0208191819436013,0.0186453094515749,-0.6666666666666666,0.1666666666666666,0.8333333333333334,0.0036336822611407,-0.000612930700411,0.0276345480039487,0.8677312332664959,2,high_volatility,0,risk_off,0.9988466002025546,1.1073543939853114e-19,0.0011533997974454,4.215835823254545e-40,34.89508485910683,0.02883499493613501,24.43520989985562,bearish
2025-04-04,0.010108859343672,0.0237480365333796,0.0207189289805101,0.0187116411751855,-0.6666666666666666,0.1666666666666666,0.8333333333333334,0.021223510051645,-0.0010057913643009,0.026673325081783,0.857986221646664,2,high_volatility,0,risk_off,0.9999964445495436,1.8254838191467282e-19,3.5554504562661915e-06,2.8142215418731367e-35,35.36603008693331,8.888626140667304e-05,24.756247726731736,bearish
